id,title,url,summary,publisher,resource_type,level,rating,featured,status,intents,topics,tags,verified_on,exclude,duplicate_url
agent-skills-overview,Agent Skills overview,https://agentskills.io/home,"A vendor-neutral introduction to the open Agent Skills format, progressive disclosure, and optional scripts, references, and assets.",Agent Skills,Documentation,start-here,5.0,true,published,understand,fundamentals,"open-standard|overview",2026-07-28,false,false
agent-skills-specification,Agent Skills specification,https://agentskills.io/specification,"The primary technical reference for required SKILL.md structure, frontmatter constraints, optional folders, file references, and validation.",Agent Skills,Documentation,start-here,5.0,false,published,understand|create|troubleshoot,fundamentals|code-automation,"specification|validation",2026-07-28,false,false
openai-build-skills,Build skills for ChatGPT and Codex,https://developers.openai.com/plugins/build/skills,"OpenAI's guide to authoring focused skills with clear workflow boundaries, supporting resources, scripts, MCP dependencies, and representative tests.",OpenAI,Documentation,start-here,5.0,false,published,understand|create|execute|evaluate,fundamentals|code-automation|evaluation-verification,"OpenAI|authoring",2026-07-28,false,false
openai-record-replay,Record a skill in Codex,https://learn.chatgpt.com/docs/extend/record-and-replay,"The “Record a skill” command starts OpenAI's Record & Replay flow: demonstrate a stable workflow on your Mac, then let Codex inspect the recording and draft a reusable skill.",OpenAI,Guide,start-here,4.9,true,published,create|execute|apply,code-automation|management-optimization,"Codex|Record-and-Replay",2026-07-28,false,false
anthropic-what-are-skills,What are skills?,https://support.claude.com/en/articles/12512176-what-are-skills,"Anthropic's plain-language explanation of skills as dynamically loaded folders of instructions, scripts, and resources.",Anthropic,Documentation,start-here,4.9,false,published,understand,fundamentals,"Claude|overview",2026-07-28,false,false
openai-skills-concepts,Skills as the workflow layer of a plugin,https://developers.openai.com/plugins/concepts/skills,"Explains how skills provide reusable procedures while MCP servers provide live data, authentication, authorization, and controlled actions.",OpenAI,Documentation,practical,4.9,false,published,understand|create|execute,fundamentals|code-automation,"skills-vs-tools|MCP",2026-07-28,false,false
troubleshoot-validate-structure,Validate the skill before debugging behavior,https://agentskills.io/specification#validation,"Run the reference validator first to catch invalid frontmatter, naming problems, and structural errors before investigating activation or runtime behavior.",Agent Skills,Guide,practical,4.9,false,published,troubleshoot|create,code-automation|evaluation-verification,"skills-ref|structure",2026-07-28,false,false
troubleshoot-triggering,Fix a skill that will not trigger,https://agentskills.io/skill-creation/optimizing-descriptions,"Test should-trigger and should-not-trigger prompts, then make the description specific about the user goal and when the skill applies. Avoid descriptions that are vague or overly broad.",Agent Skills,Guide,practical,4.9,false,published,troubleshoot|evaluate,prompt-engineering|evaluation-verification,"description|activation",2026-07-28,false,false
anthropic-use-skills,Use and troubleshoot skills in Claude,https://support.claude.com/en/articles/12512180-use-skills-in-claude,"Anthropic's official checklist for enabling skills, diagnosing missing UI or upload errors, and improving descriptions when Claude does not select a skill.",Anthropic,Documentation,practical,4.9,false,published,troubleshoot|manage,fundamentals|management-optimization,"Claude|enablement",2026-07-28,false,false
troubleshoot-loading,Diagnose a skill that does not load,https://support.claude.com/en/articles/12512180-use-skills-in-claude#troubleshooting,"Check whether skills and code execution are enabled, then verify the package shape, folder and skill names, required SKILL.md file, and valid frontmatter. Loading paths differ by product.",Anthropic,Guide,practical,4.8,false,published,troubleshoot,code-automation|management-optimization,"loading|frontmatter",2026-07-28,false,false
claude-code-skills,Create and manage skills in Claude Code,https://code.claude.com/docs/en/skills,"Claude Code's reference for skill locations, live change detection, automatic discovery, activation, and name precedence across enterprise, personal, project, and plugin scopes.",Anthropic,Documentation,advanced,4.8,false,published,create|manage|troubleshoot,code-automation|management-optimization,"Claude-Code|scope",2026-07-28,false,false
